New Releases For 7/24/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. For more information, go to www.digitalcomicsreader.com.

PREVIEWS  PUBLICATIONS

JUN130004 	PREVIEWS #299 AUG 2013 CUSTOMER ORDER FORM 	PI
JUN130001 	PREVIEWS #299 AUGUST 2013 [DIG/P+] 	$4.50
 
PREMIER PUBLISHERS

DARK HORSE COMICS

APR130076 	CREEPY PRESENTS STEVE DITKO HC 	$19.99
MAY130015 	DARK HORSE PRESENTS #26 (MR) 	$7.99
SEP120075 	GAME OF THRONES CERAMIC STEIN GREYJOY SIGIL 	$19.99
AUG120093 	GAME OF THRONES CERAMIC STEIN STARK SIGIL 	$19.99
AUG120094 	GAME OF THRONES CERAMIC STEIN TARGARYEN SIGIL 	$19.99
MAY130065 	GAMMA ONE SHOT 	$2.99
MAY130038 	LOBSTER JOHNSON SCENT OF LOTUS #1 	$3.50
MAY130057 	MASS EFFECT FOUNDATION #1 	$3.99
MAY130020 	MASSIVE #14 	$3.50
MAY130021 	MIND MGMT #13 	$3.99
FEB138564 	SAVAGE SWORD OF CONAN TP VOL 06 (NEW PTG) 	$19.99
MAR130072 	STAR WARS AGENT O/T EMPIRE TP VOL 02 HARD TARGETS 	$19.99
MAR130069 	STAR WARS DAWN O/T JEDI TP VOL 02 PRISONER OF BOGAN 	$18.99
MAY130062 	STAR WARS LEGACY II #5 	$2.99

DC COMICS

MAY130189 	ALL STAR WESTERN #22 	$3.99
MAY130116 	AQUAMAN #22 	$2.99
MAY130207 	ARROW #9 	$3.99
MAY130147 	BATMAN SUPERMAN #2 	$3.99
MAY130150 	BATMAN SUPERMAN #2 COMBO PACK 	$4.99
MAY130167 	BATMAN THE DARK KNIGHT #22 	$2.99
APR130228 	CAMELOT 3000 TP 	$19.99
MAY130174 	CATWOMAN #22 	$2.99
